"","t","i","a","s","open","completed","carried"
"246",29,6,0.956572654410619,"C_999",466421,59914,487596
"247",30,6,0.94284851260365,"C_999",483818,62926,513145
"248",31,6,0.945208459072418,"C_999",482355,70520,510316
"249",32,6,0.959162721081272,"C_999",510100,53143,531818
"250",33,6,0.949955013573158,"C_999",492014,67938,517934
"251",34,6,0.941951287621504,"C_999",458751,59251,487022
"252",35,6,0.952619863211192,"C_999",495570,59325,520218
"253",0,7,NA,"C_999",231738,35777,NA
"254",1,7,0.933629539222898,"C_999",223369,36685,239248
"255",2,7,0.935054218725256,"C_999",224370,40844,239954
"256",3,7,1,"C_999",168646,27724,165197
"257",4,7,0.928718239648823,"C_999",199719,24873,215048
"258",5,7,0.930270566155771,"C_999",237926,32949,255760
"259",6,7,0.957300415677685,"C_999",235135,34505,245623
"260",7,7,0.92053415061296,"C_999",269120,43546,292352
"261",8,7,0.956451585217227,"C_999",278600,34515,291285
"262",9,7,0.967530334647191,"C_999",300453,42944,310536
"263",10,7,0.929827520222103,"C_999",286690,41452,308326
"264",11,7,0.969103463468701,"C_999",281542,42853,290518
"265",12,7,0.946171804531225,"C_999",320985,38274,339246
"266",13,7,0.953499852202187,"C_999",322569,48235,338300
"267",14,7,0.947827663374752,"C_999",318926,45289,336481
"268",15,7,0.968246007955595,"C_999",254853,33976,263211
"269",16,7,0.960417257826962,"C_999",355388,44373,370035
"270",17,7,0.955064318657856,"C_999",377089,51030,394831
"271",18,7,0.922419594557831,"C_999",322108,50941,349199
"272",19,7,0.93838645722129,"C_999",363027,52310,386863
"273",20,7,0.976275050803774,"C_999",354546,41363,363162
"274",21,7,0.987365456140661,"C_999",390506,55138,395503
"275",22,7,0.934968416946321,"C_999",373892,49753,399898
"276",23,7,0.974572942696623,"C_999",342424,49144,351358
"277",24,7,0.950401284483744,"C_999",407246,40950,428499
"278",25,7,0.964325926203356,"C_999",411961,52942,427201
"279",26,7,0.953888066899293,"C_999",377795,54354,396058
"280",27,7,0.985462825379446,"C_999",327625,38561,332458
"281",28,7,0.96418097034784,"C_999",425737,48093,441553
"282",29,7,0.961789491787772,"C_999",447386,54327,465160
"283",30,7,0.956192966579422,"C_999",391998,56464,409957
"284",31,7,0.959030332069693,"C_999",408311,58064,425754
"285",32,7,0.971833307766103,"C_999",424455,45598,436757
"286",33,7,0.965731692403473,"C_999",434333,60355,449745
"287",34,7,0.952166774898704,"C_999",416413,54682,437332
"288",35,7,0.968828598724873,"C_999",397522,48439,410312
"289",0,8,NA,"C_999",168571,24850,NA
"290",1,8,0.940692416042701,"C_999",190335,29403,202335
"291",2,8,0.960126890399987,"C_999",183414,32338,191031
"292",3,8,0.890784020026264,"C_999",173653,29426,194944
"293",4,8,0.996768960660093,"C_999",149313,18849,149797
"294",5,8,0.953163390663391,"C_999",167589,23895,175824
"295",6,8,0.95340061098448,"C_999",201608,26464,211462
"296",7,8,0.943675956995138,"C_999",192927,30693,204442
"297",8,8,0.962264150943396,"C_999",233988,25956,243164
"298",9,8,0.988266818237181,"C_999",243420,32290,246310
"299",10,8,0.935810988977873,"C_999",248426,34987,265466
"300",11,8,0.958071303986046,"C_999",239491,36718,249972
"301",12,8,0.95158130422614,"C_999",241400,27859,253683
"302",13,8,0.947416591283989,"C_999",267072,39090,281895
"303",14,8,0.971816367823483,"C_999",278094,36410,286159
"304",15,8,0.928280231805758,"C_999",262539,36103,282823
"305",16,8,1,"C_999",245341,28925,225928
"306",17,8,0.955752548237028,"C_999",302208,39189,316199
"307",18,8,0.907220873060497,"C_999",303342,42725,334364
"308",19,8,0.9672132929069,"C_999",267006,46051,276057
"309",20,8,0.984259995946261,"C_999",325356,32468,330559
"310",21,8,1,"C_999",312818,45071,309475
"311",22,8,0.942073795645936,"C_999",326324,44117,346389
"312",23,8,0.953078635578112,"C_999",313804,44639,329253
"313",24,8,0.963237002426558,"C_999",298511,32520,309904
"314",25,8,0.953619116478671,"C_999",346878,43497,363749
"315",26,8,0.967990825587633,"C_999",353669,46597,365364
"316",27,8,0.93158092086468,"C_999",313041,41763,336032
"317",28,8,1,"C_999",320154,32539,295086
"318",29,8,0.962552724619346,"C_999",366722,44748,380989
"319",30,8,0.944387987966785,"C_999",374515,50817,396569
"320",31,8,0.96796362929679,"C_999",328734,52384,339614
"321",32,8,0.96925039769378,"C_999",360093,36794,371517
"322",33,8,1,"C_999",378230,51440,373015
"323",34,8,0.948975827236448,"C_999",365257,49437,384896
"324",35,8,0.957792707318324,"C_999",354844,45932,370481
"325",0,9,NA,"C_999",127719,19381,NA
"326",1,9,0.946271230161424,"C_999",139399,21257,147314
"327",2,9,0.945606976829762,"C_999",154185,27281,163054
"328",3,9,0.964470130033294,"C_999",153534,24224,159190
"329",4,9,0.888124454821509,"C_999",135415,21180,152473
"330",5,9,0.95877063175868,"C_999",126342,17538,131775
"331",6,9,0.958452760802553,"C_999",141782,19661,147928
"332",7,9,0.918443732234063,"C_999",162199,25006,176602
"333",8,9,0.986382498690625,"C_999",171381,19180,173747
"334",9,9,0.965168366513184,"C_999",200811,25930,208058
"335",10,9,0.920963626380218,"C_999",199594,26697,216723
"336",11,9,0.946029098322676,"C_999",204172,32606,215820
"337",12,9,0.939164507892726,"C_999",201571,24863,214628
"338",13,9,0.992057483317893,"C_999",210964,28747,212653
"339",14,9,0.943278841267152,"C_999",222727,30952,236120
"340",15,9,0.939075528798171,"C_999",233349,29606,248488
"341",16,9,0.852488691692552,"C_999",197323,31072,231467
"342",17,9,0.972494856410978,"C_999",214121,25164,220177
"343",18,9,0.899853942799231,"C_999",241510,33820,268388
"344",19,9,0.934181183481688,"C_999",246735,39223,264119
"345",20,9,0.992679613604347,"C_999",236766,28494,238512
"346",21,9,1,"C_999",293426,36584,288772
"347",22,9,0.924565890914331,"C_999",256641,35238,277580
"348",23,9,0.941640318199052,"C_999",270715,38831,287493
"349",24,9,0.936359222617825,"C_999",266147,29568,284236
"350",25,9,1,"C_999",266050,34039,264472
"351",26,9,0.947284407368154,"C_999",291379,39284,307594
"352",27,9,0.948284853676036,"C_999",300025,37282,316387
"353",28,9,0.849540144884875,"C_999",236653,34475,278566
"354",29,9,0.955535080181794,"C_999",276894,30375,289779
"355",30,9,0.935805226021555,"C_999",301727,44297,322425
"356",31,9,0.949606948981885,"C_999",308401,49748,324767
"357",32,9,0.97391569634413,"C_999",287310,33729,295005
"358",33,9,0.942260682815905,"C_999",298348,43463,316630
"359",34,9,0.933759440450934,"C_999",312928,43103,335127
"360",35,9,0.950266018968309,"C_999",308100,41032,324225
"361",0,10,NA,"C_999",92491,14103,NA
"362",1,10,0.921249581451752,"C_999",101799,17218,110501
"363",2,10,0.974646570861082,"C_999",116788,19573,119826
"364",3,10,0.933256961447172,"C_999",124643,20628,133557
"365",4,10,0.933194920290227,"C_999",127201,17227,136307
"366",5,10,0.912702588474775,"C_999",105816,19478,115937
"367",6,10,0.978971774374032,"C_999",109358,14635,111707
"368",7,10,0.924226461578359,"C_999",114044,18388,123394
"369",8,10,0.929782380022131,"C_999",136122,15797,146402
"370",9,10,0.976999176675074,"C_999",149518,18343,153038
"371",10,10,0.909337351084625,"C_999",162354,22270,178541
"372",11,10,0.976159901414858,"C_999",169517,25937,173657
"373",12,10,0.927774899800965,"C_999",170140,20787,183385
"374",13,10,0.896776285106528,"C_999",157673,25749,175822
"375",14,10,0.945065803529462,"C_999",176939,23740,187224
"376",15,10,0.921229853456756,"C_999",182620,24492,198235
"377",16,10,0.942000077089115,"C_999",195514,25797,207552
"378",17,10,0.928732746332221,"C_999",158322,26852,170471
"379",18,10,0.907996421996401,"C_999",174595,21835,192286
"380",19,10,0.941925446571315,"C_999",197372,31969,209541
"381",20,10,0.976245625917146,"C_999",216214,25260,221475
"382",21,10,0.937808292552285,"C_999",192593,31401,205365
"383",22,10,0.91187268644942,"C_999",240428,29762,263664
"384",23,10,1,"C_999",225389,32393,224248
"385",24,10,0.941837826316847,"C_999",229783,26742,243973
"386",25,10,0.90460999722418,"C_999",211828,31982,234165
"387",26,10,0.949742092540261,"C_999",223159,31082,234968
"388",27,10,0.935366050995169,"C_999",242778,31825,259554
"389",28,10,0.94684489699797,"C_999",253299,32506,267519
"390",29,10,0.918950282491432,"C_999",186886,33284,203369
"391",30,10,0.963624153331466,"C_999",233887,34178,242716
"392",31,10,0.947944598596311,"C_999",243927,44405,257322
"393",32,10,0.958372062625265,"C_999",263951,32985,275416
"394",33,10,0.905653361786055,"C_999",224084,39882,247428
"395",34,10,0.921724442397021,"C_999",240100,37858,260490
"396",35,10,0.943569715457463,"C_999",260446,36906,276022
"397",0,11,NA,"C_999",60172,8589,NA
"398",1,11,0.947179499962609,"C_999",75996,12257,80234
"399",2,11,0.932494319174969,"C_999",80022,15984,85815
"400",3,11,0.965850736889648,"C_999",98369,14941,101847
"401",4,11,0.949220562941931,"C_999",104307,14756,109887
"402",5,11,0.95943783862405,"C_999",105542,17197,110004
"403",6,11,0.915373137652273,"C_999",82206,16010,89806
"404",7,11,0.922478919156139,"C_999",88284,13655,95703
"405",8,11,0.980762268212731,"C_999",100229,11849,102195
"406",9,11,0.916478611489065,"C_999",110465,15590,120532
"407",10,11,0.906930276580082,"C_999",120736,16392,133126
"408",11,11,0.929191825524354,"C_999",131266,21085,141269
"409",12,11,0.934550250316587,"C_999",142432,17110,152407
"410",13,11,0.938782575639294,"C_999",138293,22829,147311
"411",14,11,0.947122759824058,"C_999",130272,20128,137545
"412",15,11,0.932359372524164,"C_999",147103,19164,157775
"413",16,11,0.962998747093694,"C_999",154491,22193,160427
"414",17,11,0.959808062756748,"C_999",165421,23166,172348
"415",18,11,0.886356953837107,"C_999",120580,22282,136040
"416",19,11,0.968802358655982,"C_999",149182,20609,153986
"417",20,11,0.976288153669919,"C_999",173009,20161,177211
"418",21,11,0.983628820120191,"C_999",183974,29178,187036
"419",22,11,0.928164448891312,"C_999",154919,25684,166909
"420",23,11,0.880619906277872,"C_999",186606,28525,211903
"421",24,11,0.979338578332603,"C_999",198793,22402,202987
"422",25,11,0.961030779384412,"C_999",192210,29779,200004
"423",26,11,0.96164233476677,"C_999",175543,29283,182545
"424",27,11,0.946513243639351,"C_999",186642,25970,197189
"425",28,11,0.956136064299643,"C_999",205444,27909,214869
"426",29,11,0.931396301948655,"C_999",205670,32480,220819
"427",30,11,0.903175304082534,"C_999",134994,37420,149466
"428",31,11,0.930837918550692,"C_999",187952,31970,201917
"429",32,11,0.968867201115371,"C_999",208476,28752,215175
"430",33,11,0.948086448546234,"C_999",213419,38846,225105
"431",34,11,0.943917043194425,"C_999",179870,33527,190557
"432",35,11,0.948989699843238,"C_999",197350,32142,207958
"433",0,12,NA,"C_999",34461,5303,NA
"434",1,12,0.940185213298922,"C_999",49544,7476,52696
"435",2,12,0.96197340623835,"C_999",61928,11620,64376
"436",3,12,0.976951760180863,"C_999",66548,11904,68118
"437",4,12,0.938766600799596,"C_999",81714,11325,87044
"438",5,12,0.939608859303274,"C_999",84126,14774,89533
"439",6,12,0.954767685867786,"C_999",86902,14523,91019
"440",7,12,0.95770162375527,"C_999",64053,15324,66882
"441",8,12,0.940622518059075,"C_999",74613,8961,79323
"442",9,12,0.969456821196558,"C_999",85509,12026,88203
