"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"321",41,"C_999",2027-07-01,"first",1730487.02817489,"activity",1583389.56028351
"322",41,"C_999",2027-07-01,"fups",3885339.74630644,"activity",3555072.23821526
"323",41,"C_999",2027-07-01,"ncl",698419.651856697,"activity",639051.531413717
"324",41,"C_999",2027-07-01,"cl",3842257.08665018,"activity",3515651.75576246
"325",41,"C_999",2027-07-01,"proc",1075150.03597445,"activity",983758.51132259
"326",41,"C_999",2027-07-01,"non_proc",4540676.73850688,"activity",4154703.28717618
"327",41,"C_999",2027-07-01,"dc",258400.934565196,"activity",236435.948664438
"328",41,"C_999",2027-07-01,"ord",57820.877499813,"activity",52905.9000784274
"329",42,"C_999",2027-08-01,"first",1737812.80561182,"activity",1586651.08352907
"330",42,"C_999",2027-08-01,"fups",3901787.79462167,"activity",3562395.10495345
"331",42,"C_999",2027-08-01,"ncl",701376.314832944,"activity",640367.872936422
"332",42,"C_999",2027-08-01,"cl",3858522.75048584,"activity",3522893.42276112
"333",42,"C_999",2027-08-01,"proc",1079701.5349147,"activity",985784.892784979
"334",42,"C_999",2027-08-01,"non_proc",4559899.06531879,"activity",4163261.29569754
"335",42,"C_999",2027-08-01,"dc",259494.839174303,"activity",236922.968006991
"336",42,"C_999",2027-08-01,"ord",58065.6541857258,"activity",53014.8775702976
"337",43,"C_999",2027-09-01,"first",1745169.59571408,"activity",1589919.32497851
"338",43,"C_999",2027-09-01,"fups",3918305.47347401,"activity",3569733.05559814
"339",43,"C_999",2027-09-01,"ncl",704345.494432874,"activity",641686.925907139
"340",43,"C_999",2027-09-01,"cl",3874857.27275915,"activity",3530150.00640811
"341",43,"C_999",2027-09-01,"proc",1084272.30199606,"activity",987815.4482614
