"","t","i","a","s","open","completed","carried","c_a"
"292",3,8,0.890784020026264,"C_999",173653,29426,194944,0.144899275651347
"293",4,8,0.996768960660093,"C_999",149313,18849,149797,0.112088343383166
"294",5,8,0.953163390663391,"C_999",167589,23895,175824,0.124788494077834
"295",6,8,0.95340061098448,"C_999",201608,26464,211462,0.116033533270195
"296",7,8,0.943675956995138,"C_999",192927,30693,204442,0.137255165012074
"297",8,8,0.962264150943396,"C_999",233988,25956,243164,0.0998522758748038
"298",9,8,0.988266818237181,"C_999",243420,32290,246310,0.117115810090312
"299",10,8,0.935810988977873,"C_999",248426,34987,265466,0.123448818508678
"300",11,8,0.958071303986046,"C_999",239491,36718,249972,0.132935566907668
"301",12,8,0.95158130422614,"C_999",241400,27859,253683,0.103465436624217
"302",13,8,0.947416591283989,"C_999",267072,39090,281895,0.127677504066475
"303",14,8,0.971816367823483,"C_999",278094,36410,286159,0.115769592755577
"304",15,8,0.928280231805758,"C_999",262539,36103,282823,0.120890564622525
"305",16,8,1,"C_999",245341,28925,225928,0.105463309342026
"306",17,8,0.955752548237028,"C_999",302208,39189,316199,0.114790112391146
"307",18,8,0.907220873060497,"C_999",303342,42725,334364,0.123458752206943
"308",19,8,0.9672132929069,"C_999",267006,46051,276057,0.147101007164829
"309",20,8,0.984259995946261,"C_999",325356,32468,330559,0.0907373457342157
"310",21,8,1,"C_999",312818,45071,309475,0.125935695145702
"311",22,8,0.942073795645936,"C_999",326324,44117,346389,0.119093188928871
"312",23,8,0.953078635578112,"C_999",313804,44639,329253,0.12453583972905
"313",24,8,0.963237002426558,"C_999",298511,32520,309904,0.0982385335512384
"314",25,8,0.953619116478671,"C_999",346878,43497,363749,0.111423631123919
"315",26,8,0.967990825587633,"C_999",353669,46597,365364,0.11641508396916
"316",27,8,0.93158092086468,"C_999",313041,41763,336032,0.117707241181046
"317",28,8,1,"C_999",320154,32539,295086,0.0922587065805105
"318",29,8,0.962552724619346,"C_999",366722,44748,380989,0.108751549323158
"319",30,8,0.944387987966785,"C_999",374515,50817,396569,0.119476079862319
"320",31,8,0.96796362929679,"C_999",328734,52384,339614,0.137448244375758
"321",32,8,0.96925039769378,"C_999",360093,36794,371517,0.0927064882447649
"322",33,8,1,"C_999",378230,51440,373015,0.119719784951242
"323",34,8,0.948975827236448,"C_999",365257,49437,384896,0.119213202988227
"324",35,8,0.957792707318324,"C_999",354844,45932,370481,0.114607661137393
"325",0,9,NA,"C_999",127719,19381,NA,0.131753908905506
"326",1,9,0.946271230161424,"C_999",139399,21257,147314,0.132313763569366
"327",2,9,0.945606976829762,"C_999",154185,27281,163054,0.150336702192146
"328",3,9,0.964470130033294,"C_999",153534,24224,159190,0.136275160611618
"329",4,9,0.888124454821509,"C_999",135415,21180,152473,0.13525336057984
"330",5,9,0.95877063175868,"C_999",126342,17538,131775,0.121893244370309
"331",6,9,0.958452760802553,"C_999",141782,19661,147928,0.121782920287656
"332",7,9,0.918443732234063,"C_999",162199,25006,176602,0.133575492107583
"333",8,9,0.986382498690625,"C_999",171381,19180,173747,0.100650185504904
"334",9,9,0.965168366513184,"C_999",200811,25930,208058,0.11435955561632
"335",10,9,0.920963626380218,"C_999",199594,26697,216723,0.117976410904543
"336",11,9,0.946029098322676,"C_999",204172,32606,215820,0.137707050486109
"337",12,9,0.939164507892726,"C_999",201571,24863,214628,0.109802414831695
"338",13,9,0.992057483317893,"C_999",210964,28747,212653,0.119923574637793
"339",14,9,0.943278841267152,"C_999",222727,30952,236120,0.122012464571368
"340",15,9,0.939075528798171,"C_999",233349,29606,248488,0.112589606586678
"341",16,9,0.852488691692552,"C_999",197323,31072,231467,0.136045009741895
"342",17,9,0.972494856410978,"C_999",214121,25164,220177,0.105163298994922
"343",18,9,0.899853942799231,"C_999",241510,33820,268388,0.12283441688156
"344",19,9,0.934181183481688,"C_999",246735,39223,264119,0.137163499534897
"345",20,9,0.992679613604347,"C_999",236766,28494,238512,0.107419135942095
"346",21,9,1,"C_999",293426,36584,288772,0.110857246750098
"347",22,9,0.924565890914331,"C_999",256641,35238,277580,0.120728109935967
"348",23,9,0.941640318199052,"C_999",270715,38831,287493,0.125445006557991
"349",24,9,0.936359222617825,"C_999",266147,29568,284236,0.0999881642797964
"350",25,9,1,"C_999",266050,34039,264472,0.113429682527517
"351",26,9,0.947284407368154,"C_999",291379,39284,307594,0.118803736734984
"352",27,9,0.948284853676036,"C_999",300025,37282,316387,0.11052839105029
"353",28,9,0.849540144884875,"C_999",236653,34475,278566,0.127153964179281
"354",29,9,0.955535080181794,"C_999",276894,30375,289779,0.0988547494215166
"355",30,9,0.935805226021555,"C_999",301727,44297,322425,0.128017131759647
"356",31,9,0.949606948981885,"C_999",308401,49748,324767,0.138903082236723
"357",32,9,0.97391569634413,"C_999",287310,33729,295005,0.105062001812864
"358",33,9,0.942260682815905,"C_999",298348,43463,316630,0.127155065226104
"359",34,9,0.933759440450934,"C_999",312928,43103,335127,0.121065300493496
"360",35,9,0.950266018968309,"C_999",308100,41032,324225,0.117525749573227
"361",0,10,NA,"C_999",92491,14103,NA,0.13230575829784
"362",1,10,0.921249581451752,"C_999",101799,17218,110501,0.144668408714721
"363",2,10,0.974646570861082,"C_999",116788,19573,119826,0.143538108403429
"364",3,10,0.933256961447172,"C_999",124643,20628,133557,0.141996682063178
"365",4,10,0.933194920290227,"C_999",127201,17227,136307,0.119277425429972
"366",5,10,0.912702588474775,"C_999",105816,19478,115937,0.155458361932734
"367",6,10,0.978971774374032,"C_999",109358,14635,111707,0.118030856580613
"368",7,10,0.924226461578359,"C_999",114044,18388,123394,0.138848616648544
"369",8,10,0.929782380022131,"C_999",136122,15797,146402,0.1039830435956
"370",9,10,0.976999176675074,"C_999",149518,18343,153038,0.109274935809986
"371",10,10,0.909337351084625,"C_999",162354,22270,178541,0.120623537568247
"372",11,10,0.976159901414858,"C_999",169517,25937,173657,0.132701300561769
"373",12,10,0.927774899800965,"C_999",170140,20787,183385,0.108874072289409
"374",13,10,0.896776285106528,"C_999",157673,25749,175822,0.14038119745723
"375",14,10,0.945065803529462,"C_999",176939,23740,187224,0.118298377010051
"376",15,10,0.921229853456756,"C_999",182620,24492,198235,0.118254857275291
"377",16,10,0.942000077089115,"C_999",195514,25797,207552,0.116564472619978
"378",17,10,0.928732746332221,"C_999",158322,26852,170471,0.145009558577338
"379",18,10,0.907996421996401,"C_999",174595,21835,192286,0.111159191569516
"380",19,10,0.941925446571315,"C_999",197372,31969,209541,0.13939504929341
"381",20,10,0.976245625917146,"C_999",216214,25260,221475,0.104607535386833
"382",21,10,0.937808292552285,"C_999",192593,31401,205365,0.140186790717609
"383",22,10,0.91187268644942,"C_999",240428,29762,263664,0.110152115178208
"384",23,10,1,"C_999",225389,32393,224248,0.125660441768626
"385",24,10,0.941837826316847,"C_999",229783,26742,243973,0.104247149400643
"386",25,10,0.90460999722418,"C_999",211828,31982,234165,0.13117591567204
"387",26,10,0.949742092540261,"C_999",223159,31082,234968,0.122254081757073
