"","t","s","first","fups","ncl","cl","proc","non_proc","dc","ord","date"
"122",122,"C_999",2092403.7463411,4697925.67561386,844488.211855873,4645832.64226581,1300008.56783328,5490320.85412168,312443.303381765,69913.624735424,2034-05-01
"123",123,"C_999",2097224.46433212,4708749.29168916,846433.839951415,4656536.24047959,1303003.67559027,5502970.08043101,313163.145838758,70074.6997044251,2034-06-01
"124",124,"C_999",2102056.28884213,4719597.84444355,848383.950606493,4667264.49886165,1306005.68381754,5515648.44946814,313884.646750764,70236.1457762796,2034-07-01
"125",125,"C_999",2106899.24545961,4730471.39132899,850338.554148536,4678017.47422688,1309014.60841318,5528356.02837542,314607.809938721,70397.9638059768,2034-08-01
"126",126,"C_999",2111753.35983195,4741369.98992979,852297.66092877,4688795.22352109,1312030.46531189,5541092.88444986,315332.63923237,70560.1546504752,2034-09-01
"127",127,"C_999",2116618.65766567,4752293.69796297,854261.281322268,4699597.80382127,1315053.2704851,5553859.08514353,316059.138470274,70722.7191687082,2034-10-01
"128",128,"C_999",2121495.1647265,4763242.57327848,856229.425728005,4710425.27233592,1318083.03994105,5566654.69806393,316787.311499841,70885.6582215879,2034-11-01
"129",129,"C_999",2126382.90683954,4774216.67385957,858202.104568915,4721277.68640535,1321119.78972484,5579479.79097426,317517.162177343,71048.9726720097,2034-12-01
"130",130,"C_999",2131281.90988937,4785216.05782309,860179.328291949,4732155.10350196,1324163.53591855,5592334.43179391,318248.694367936,71212.6633848574,2035-01-01
"131",131,"C_999",2136192.19982022,4796240.78341977,862161.107368121,4743057.58123058,1327214.2946413,5605218.6885987,318981.911945682,71376.731227007,2035-02-01
"132",132,"C_999",2141113.80263611,4807290.90903455,864147.452292573,4753985.17732874,1330272.08204935,5618132.62962131,319716.818793568,71541.1770673321,2035-03-01
